polymer,chain_length,temperature,density [kg/m3],diff [nm2/ns],r_ee [nm],E_pot (kJ/mol),diff [nm2/ns],diff_err [nm2/ns],diff [cm2/s],diff_err [cm2/s],diff_PE [cm2/s],diff_normalized,E_sing [kJ/mol],E_sing_err,n_mol,L [nm],L [m],V [m3],CED [kPa],CED [MPa],CED_PE [MPa],CED_normalized,H_vap [kJ],H_vap_PE [kJ],H_vap_normalized,MW,crystallization_temp,latent_heat_crystallization,aligned_fraction
Acetal-linked,80,473,757,0.18,4.02,-9503.89,0.2451,0.0329,2.45E-06,3.29E-07,2.55E-07,9.61E+00,1.66E+02,3.20E-01,100,6.36E+00,6.36E-09,2.57E-25,1.68E+05,1.68E+02,174.126602,9.67E-01,2.65E+02,2.65E+02,1.00E+00,1168,271.9,815.72,0.013
Amide-linked,20,473,771.97,0.61,1.94,-33268.42,1.0198,0.0167,1.02E-05,1.67E-07,6.74E-07,1.51E+01,-4.27E+01,3.50E-01,200,5.79E+00,5.79E-09,1.94E-25,2.12E+05,2.12E+02,202.9601265,1.04E+00,1.28E+02,8.77E+01,1.46E+00,452,270.5,811.49,0.013
Amide-linked,40,473,769.37,0.28,2.78,-14365.23,0.4005,0.0183,4.01E-06,1.83E-07,1.06E-07,3.78E+01,3.82E+01,3.70E-01,100,5.43E+00,5.43E-09,1.60E-25,1.89E+05,1.89E+02,197.5985025,9.56E-01,1.86E+02,1.58E+02,1.18E+00,732,278.3,835.02,0.012
Amide-linked,60,473,765.83,0.2,3.5,-16344.52,0.2809,0.0054,2.81E-06,5.40E-08,4.20E-07,6.69E+00,7.15E+01,1.90E-01,100,6.03E+00,6.03E-09,2.19E-25,1.78E+05,1.78E+02,180.9880715,9.83E-01,2.39E+02,2.12E+02,1.13E+00,1012,280,840.01,0.015
Amide-linked,80,473,767.71,0.1,4.09,-18939.53,0.1923,0.011,1.92E-06,1.10E-07,2.55E-07,7.54E+00,9.23E+01,4.20E-01,100,6.53E+00,6.53E-09,2.78E-25,1.68E+05,1.68E+02,174.126602,9.66E-01,2.86E+02,2.65E+02,1.08E+00,1292,288.4,865.34,0.015
Anhydride-linked,20,473,761.63,1.06,1.58,-10329.28,1.848,0.0128,1.85E-05,1.28E-07,6.74E-07,2.74E+01,4.45E+01,3.70E-02,200,5.37E+00,5.37E-09,1.55E-25,2.07E+05,2.07E+02,202.9601265,1.02E+00,1.00E+02,8.77E+01,1.14E+00,354,285.1,855.43,0.015
Anhydride-linked,40,473,763.03,0.47,2.53,-6133.83,0.8197,0.0177,8.20E-06,1.77E-07,1.06E-07,7.73E+01,9.71E+01,5.50E-02,100,5.19E+00,5.19E-09,1.40E-25,1.88E+05,1.88E+02,197.5985025,9.52E-01,1.62E+02,1.58E+02,1.03E+00,634,294.9,884.61,0.018
Anhydride-linked,60,473,764.53,0.23,3.3,-7029.71,0.4283,0.0244,4.28E-06,2.44E-07,4.20E-07,1.02E+01,1.47E+02,1.50E-01,100,5.84E+00,5.84E-09,1.99E-25,1.81E+05,1.81E+02,180.9880715,1.00E+00,2.21E+02,2.12E+02,1.04E+00,914,291.1,873.25,0.017
Anhydride-linked,80,473,763.26,0.14,3.88,-10519.48,0.2742,0.0112,2.74E-06,1.12E-07,2.55E-07,1.08E+01,1.55E+02,2.90E-01,100,6.38E+00,6.38E-09,2.60E-25,1.66E+05,1.66E+02,174.126602,9.53E-01,2.64E+02,2.65E+02,9.96E-01,1194,292.8,878.46,0.016
Aromatic Ester-linked,20,473,898.25,0.2,2.5,-12641.13,0.4263,0.0138,4.26E-06,1.38E-07,6.74E-07,6.32E+00,1.03E+02,3.20E-01,200,5.99E+00,5.99E-09,2.14E-25,2.58E+05,2.58E+02,202.9601265,1.27E+00,1.70E+02,8.77E+01,1.94E+00,582,267.5,802.6,0.012
Aromatic Ester-linked,40,473,847.46,0.16,3.32,-9028.97,0.2284,0.0331,2.28E-06,3.31E-07,1.06E-07,2.15E+01,1.29E+02,9.60E-02,100,5.55E+00,5.55E-09,1.71E-25,2.14E+05,2.14E+02,197.5985025,1.08E+00,2.23E+02,1.58E+02,1.41E+00,862,262.3,786.81,0.011
Aromatic Ester-linked,60,473,826.45,0.1,3.94,-9830.21,0.1972,0.0187,1.97E-06,1.87E-07,4.20E-07,4.70E+00,1.69E+02,2.00E-01,100,6.12E+00,6.12E-09,2.30E-25,1.93E+05,1.93E+02,180.9880715,1.07E+00,2.71E+02,2.12E+02,1.28E+00,1142,268.2,804.47,0.01
Aromatic Ester-linked,80,473,812.81,0.08,4.48,-10916.23,0.1157,0.0083,1.16E-06,8.30E-08,2.55E-07,4.54E+00,1.97E+02,6.00E-01,100,6.64E+00,6.64E-09,2.93E-25,1.74E+05,1.74E+02,174.126602,9.98E-01,3.10E+02,2.65E+02,1.17E+00,1422,272.5,817.43,0.013
Polyethylene,20,473,682.67,1.97,1.65,-2840.59,3.082,0.0674,3.08E-05,6.74E-07,6.74E-07,4.57E+01,69.61,0.04,200,5.16,5.16E-09,1.37E-25,2.03E+05,2.03E+02,202.9601265,1.00E+00,8.77E+01,8.77E+01,1.00E+00,282,274.8,824.41,0.013
Polyethylene,40,473,724.42,0.5,2.67,-2391.53,0.8407,0.0106,8.41E-06,1.06E-07,1.06E-07,7.93E+01,129.95,0.09,100,5.06,5.06E-09,1.29E-25,1.98E+05,1.98E+02,197.5985025,1.00E+00,1.58E+02,1.58E+02,1.00E+00,562,281.2,843.48,0.015
Polyethylene,60,473,738.56,0.3,3.4,-3213.75,0.4811,0.042,4.81E-06,4.20E-07,4.20E-07,1.15E+01,176.31,0.17,100,5.76,5.76E-09,1.91E-25,1.81E+05,1.81E+02,180.9880715,1.00E+00,2.12E+02,2.12E+02,1.00E+00,842,288.4,865.21,0.015
Polyethylene,80,473,745.01,0.17,4.04,-4770.05,0.3262,0.0255,3.26E-06,2.55E-07,2.55E-07,1.28E+01,212.95,0.22,100,6.29,6.29E-09,2.49E-25,1.74E+05,1.74E+02,174.126602,1.00E+00,2.65E+02,2.65E+02,1.00E+00,1122,293,879.13,0.018
Carbonate-linked,20,473,766.88,1.12,1.75,-19611.13,1.7541,0.03,1.75E-05,3.00E-07,6.74E-07,2.60E+01,2.25,0.12,200,5.29,5.29E-09,1.48E-25,2.24E+05,2.24E+02,202.9601265,1.11E+00,1.04E+02,8.77E+01,1.19E+00,342,291.3,874.03,0.016
Carbonate-linked,40,473,765.8,0.52,2.69,-11124.22,0.6943,0.0047,6.94E-06,4.70E-08,1.06E-07,6.55E+01,51.41,0.18,100,5.14,5.14E-09,1.36E-25,1.99E+05,1.99E+02,197.5985025,1.01E+00,1.67E+02,1.58E+02,1.06E+00,622,267.8,803.33,0.011
Carbonate-linked,60,473,766.17,0.25,3.43,-12083.54,0.3666,0.0254,3.67E-06,2.54E-07,4.20E-07,8.73E+00,97.17,0.33,100,5.82,5.82E-09,1.97E-25,1.84E+05,1.84E+02,180.9880715,1.02E+00,2.22E+02,2.12E+02,1.05E+00,902,262.8,788.44,0.01
Carbonate-linked,80,473,764.45,0.17,4.02,-15236.03,0.2574,0.0042,2.57E-06,4.20E-08,2.55E-07,1.01E+01,110.4,0.46,100,6.36,6.36E-09,2.57E-25,1.70E+05,1.70E+02,174.126602,9.74E-01,2.67E+02,2.65E+02,1.01E+00,1182,265.8,797.39,0.011
Ester-linked,20,473,778.43,0.91,1.76,-6967.35,1.4109,0.0239,1.41E-05,2.39E-07,6.74E-07,2.09E+01,70.66,0.07,200,5.53,5.53E-09,1.69E-25,2.07E+05,2.07E+02,202.9601265,1.02E+00,1.09E+02,8.77E+01,1.24E+00,366,270.5,811.47,0.013
Ester-linked,40,473,772.25,0.43,2.68,-4387.4,0.7269,0.0229,7.27E-06,2.29E-07,1.06E-07,6.86E+01,125.2,0.11,100,5.26,5.26E-09,1.46E-25,1.93E+05,1.93E+02,197.5985025,9.74E-01,1.73E+02,1.58E+02,1.09E+00,646,273.6,820.73,0.012
Ester-linked,60,473,773.44,0.18,3.4,-4281.04,0.3284,0.0064,3.28E-06,6.40E-08,4.20E-07,7.82E+00,183.6,0.24,100,5.9,5.90E-09,2.05E-25,1.83E+05,1.83E+02,180.9880715,1.01E+00,2.30E+02,2.12E+02,1.08E+00,926,272.7,818.16,0.013
Ester-linked,80,473,769.12,0.15,3.99,-8109.8,0.2463,0.0068,2.46E-06,6.80E-08,2.55E-07,9.66E+00,187.4,0.5,100,6.44,6.44E-09,2.67E-25,1.67E+05,1.67E+02,174.126602,9.58E-01,2.72E+02,2.65E+02,1.03E+00,1206,284.2,852.63,0.014
Oxalate-linked,20,473,785.7,0.94,1.85,17346.69,1.2444,0.0884,1.24E-05,8.84E-07,6.74E-07,1.85E+01,191.73,0.73,200,5.37,5.37E-09,1.55E-25,2.25E+05,2.25E+02,202.9601265,1.11E+00,1.09E+02,8.77E+01,1.24E+00,370,280.7,842.07,0.016
Oxalate-linked,40,473,775.75,0.33,2.46,7873.44,0.6229,0.011,6.23E-06,1.10E-07,1.06E-07,5.88E+01,244.81,0.49,100,5.2,5.20E-09,1.40E-25,1.96E+05,1.96E+02,197.5985025,9.94E-01,1.70E+02,1.58E+02,1.08E+00,650,280.8,842.37,0.016
Oxalate-linked,60,473,773.79,0.22,3.25,6536.18,0.4147,0.0192,4.15E-06,1.92E-07,4.20E-07,9.87E+00,286.88,0.4,100,5.85,5.85E-09,2.00E-25,1.84E+05,1.84E+02,180.9880715,1.02E+00,2.25E+02,2.12E+02,1.06E+00,930,294.1,882.3,0.017
Oxalate-linked,80,473,770.9,0.12,4.04,5385.37,0.265,0.0083,2.65E-06,8.30E-08,2.55E-07,1.04E+01,320.91,0.3,100,6.39,6.39E-09,2.61E-25,1.70E+05,1.70E+02,174.126602,9.75E-01,2.71E+02,2.65E+02,1.02E+00,1210,299.7,899.2,0.016
Siloxane-linked,20,473,784.17,0.4,1.68,-30986.09,0.7162,0.0056,7.16E-06,5.60E-08,6.74E-07,1.06E+01,-40.33,0.05,200,5.4,5.40E-09,1.58E-25,2.41E+05,2.41E+02,202.9601265,1.19E+00,1.19E+02,8.77E+01,1.36E+00,372,296,888.08,0.017
Siloxane-linked,40,473,768.28,0.26,2.59,-17239.63,0.5596,0.0131,5.60E-06,1.31E-07,1.06E-07,5.28E+01,-2.33,0.16,100,5.22,5.22E-09,1.42E-25,1.98E+05,1.98E+02,197.5985025,1.00E+00,1.74E+02,1.58E+02,1.10E+00,652,260.1,780.32,0.011
Siloxane-linked,60,473,770.54,0.19,3.37,-17545.43,0.2843,0.0096,2.84E-06,9.60E-08,4.20E-07,6.77E+00,54.73,0.15,100,5.84,5.84E-09,1.99E-25,1.92E+05,1.92E+02,180.9880715,1.06E+00,2.34E+02,2.12E+02,1.10E+00,932,261.1,783.4,0.011
Siloxane-linked,80,473,765.64,0.15,3.91,-20946.6,0.2504,0.0008,2.50E-06,8.00E-09,2.55E-07,9.82E+00,55.94,0.17,100,6.42,6.42E-09,2.65E-25,1.66E+05,1.66E+02,174.126602,9.56E-01,2.69E+02,2.65E+02,1.02E+00,1212,260.4,781.26,0.012
Urea-linked,20,473,753.82,0.9,,-45608.45,1.6709,0.1175,1.67E-05,1.18E-06,6.74E-07,2.48E+01,-132.44,0.29,200,5.33,5.33E-09,1.51E-25,2.10E+05,2.10E+02,202.9601265,1.03E+00,9.95E+01,8.77E+01,1.13E+00,340,277.3,831.95,0.013
Urea-linked,40,473,756.58,0.38,2.61,-23323.14,0.605,0.0028,6.05E-06,2.80E-08,1.06E-07,5.71E+01,-70.31,0.08,100,5.14,5.14E-09,1.36E-25,1.99E+05,1.99E+02,197.5985025,1.01E+00,1.67E+02,1.58E+02,1.06E+00,620,276,828.08,0.013
Urea-linked,60,473,760.71,0.22,3.41,-25507.39,0.3477,0.0194,3.48E-06,1.94E-07,4.20E-07,8.28E+00,-36.11,0.46,100,5.81,5.81E-09,1.96E-25,1.86E+05,1.86E+02,180.9880715,1.03E+00,2.23E+02,2.12E+02,1.05E+00,900,274.6,823.88,0.012
Urea-linked,80,473,759.94,0.18,3.95,-28235.26,0.2708,0.014,2.71E-06,1.40E-07,2.55E-07,1.06E+01,-17.97,0.34,100,6.36,6.36E-09,2.57E-25,1.71E+05,1.71E+02,174.126602,9.81E-01,2.68E+02,2.65E+02,1.01E+00,1180,284.2,852.47,0.015
Urethane-linked,20,473,,,,,,,1.10E-05,8.10E-07,,,,,,,,,,,,,138,8.77E+01,1.57E+00,484,289.3,867.87,0.015
Urethane-linked,40,473,793.02,0.25,2.96,-36460.94,0.4046,0.0032,4.05E-06,3.20E-08,1.06E-07,3.82E+01,-173.45,0.94,100,5.42,5.42E-09,1.60E-25,1.99E+05,1.99E+02,197.5985025,1.01E+00,1.95E+02,1.58E+02,1.23E+00,764,293.1,879.34,0.018
Urethane-linked,60,473,783.62,0.13,3.55,-37057.43,0.2332,0.0056,2.33E-06,5.60E-08,4.20E-07,5.55E+00,-128.5,0.39,100,6.04,6.04E-09,2.21E-25,1.82E+05,1.82E+02,180.9880715,1.01E+00,2.46E+02,2.12E+02,1.16E+00,1044,291,873.06,0.018
Urethane-linked,80,473,778.58,0.1,4.12,-38428.94,0.1928,0.0137,1.93E-06,1.37E-07,2.55E-07,7.56E+00,-96.79,0.16,100,6.55,6.55E-09,2.82E-25,1.70E+05,1.70E+02,174.126602,9.74E-01,2.91E+02,2.65E+02,1.10E+00,1324,299.9,899.85,0.018
Acetal-linked,20,573,666.89,1.27,1.71,-4033,4.7314,0.0462,4.73E-05,4.62E-07,4.59E-06,1.03E+01,6.17E+01,3.90E-02,2.00E+02,5.50E+00,5.50E-09,1.66E-25,1.63E+05,1.63E+02,1.64E+02,9.97E-01,8.66E+01,7.89E+01,1.10E+00,3.28E+02,268.1,804.18,0.011
Acetal-linked,40,573,691.36,0.42,2.62,-13.33,1.7643,0.0568,1.76E-05,5.68E-07,1.04E-06,1.69E+01,1.42E+02,9.20E-02,1.00E+02,5.30E+00,5.30E-09,1.49E-25,1.58E+05,1.58E+02,1.62E+02,9.79E-01,1.47E+02,1.42E+02,1.04E+00,6.08E+02,264.3,792.82,0.01
Acetal-linked,60,573,699.16,0.34,3.31,-500.25,0.8647,0.0306,8.65E-06,3.06E-07,7.10E-07,1.22E+01,1.98E+02,1.10E-01,1.00E+02,5.92E+00,5.92E-09,2.08E-25,1.62E+05,1.62E+02,1.67E+02,9.72E-01,2.08E+02,2.05E+02,1.01E+00,8.88E+02,266,797.99,0.011
Acetal-linked,80,573,702.6,0.18,3.87,1570.38,0.6045,0.0543,6.05E-06,5.43E-07,1.40E-08,4.32E+02,2.57E+02,2.70E-01,1.00E+02,6.53E+00,6.53E-09,2.79E-25,1.43E+05,1.43E+02,1.45E+02,9.88E-01,2.46E+02,2.43E+02,1.01E+00,1.17E+03,273.7,821.23,0.012
Amide-linked,20,573,705.33,0.61,1.88,-24590.96,2.7825,0.2721,2.78E-05,2.72E-06,4.59E-06,6.06E+00,-1.52E+01,1.60E-01,2.00E+02,5.97E+00,5.97E-09,2.13E-25,1.68E+05,1.68E+02,1.64E+02,1.03E+00,1.13E+02,7.89E+01,1.43E+00,4.52E+02,274.9,824.64,0.013
Amide-linked,40,573,709.37,0.28,2.72,-7267.9,0.9444,0.1019,9.44E-06,1.02E-06,1.04E-06,9.05E+00,9.24E+01,2.20E-01,1.00E+02,5.58E+00,5.58E-09,1.73E-25,1.58E+05,1.58E+02,1.62E+02,9.77E-01,1.70E+02,1.42E+02,1.20E+00,7.32E+02,272.7,817.97,0.013
Amide-linked,60,573,709.15,0.2,3.39,-6931.07,0.6886,0.0216,6.89E-06,2.16E-07,7.10E-07,9.70E+00,1.47E+02,1.60E-01,1.00E+02,6.18E+00,6.18E-09,2.36E-25,1.53E+05,1.53E+02,1.67E+02,9.15E-01,2.21E+02,2.05E+02,1.08E+00,1.01E+03,285.3,855.76,0.015
Amide-linked,80,573,712.09,0.1,3.95,-6379.42,0.5196,0.056,5.20E-06,5.60E-07,1.40E-08,3.71E+02,2.00E+02,1.60E+00,1.00E+02,6.69E+00,6.69E-09,2.99E-25,1.46E+05,1.46E+02,1.45E+02,1.01E+00,2.69E+02,2.43E+02,1.11E+00,1.29E+03,281,843.11,0.015
Anhydride-linked,20,573,688.91,1.06,1.56,-3784.19,3.9433,0.0392,3.94E-05,3.92E-07,4.59E-06,8.59E+00,6.54E+01,4.20E-02,2.00E+02,5.54E+00,5.54E-09,1.70E-25,1.65E+05,1.65E+02,1.64E+02,1.01E+00,8.91E+01,7.89E+01,1.13E+00,3.54E+02,287.7,863.23,0.016
Anhydride-linked,40,573,701.56,0.47,2.48,-734.4,1.3648,0.0657,1.36E-05,6.57E-07,1.04E-06,1.31E+01,1.40E+02,1.50E-01,1.00E+02,5.29E+00,5.29E-09,1.48E-25,1.65E+05,1.65E+02,1.62E+02,1.02E+00,1.52E+02,1.42E+02,1.07E+00,6.34E+02,291.5,874.6,0.017
Anhydride-linked,60,573,707.19,0.23,3.2,1849.45,0.9886,0.0149,9.89E-06,1.49E-07,7.10E-07,1.39E+01,2.14E+02,1.10E-01,1.00E+02,6.01E+00,6.01E-09,2.17E-25,1.50E+05,1.50E+02,1.67E+02,8.97E-01,2.00E+02,2.05E+02,9.76E-01,9.14E+02,297.3,891.93,0.017
