polymer,chain_length,temperature,density [kg/m3],diff [nm2/ns],r_ee [nm],E_pot (kJ/mol),diff [nm2/ns],diff_err [nm2/ns],diff [cm2/s],diff_err [cm2/s],diff_PE [cm2/s],diff_normalized,E_sing [kJ/mol],E_sing_err,n_mol,L [nm],L [m],V [m3],CED [kPa],CED [MPa],CED_PE [MPa],CED_normalized,H_vap [kJ],H_vap_PE [kJ],H_vap_normalized,MW,crystallization_temp,latent_heat_crystallization,aligned_fraction
Ester-linked,60,573,716.68,0.18,3.28,4169.03,0.6799,0.0446,6.80E-06,4.46E-07,7.10E-07,9.58E+00,2.54E+02,0.11,100,6.02,6.02E-09,2.18E-25,1.61E+05,1.61E+02,1.67E+02,9.67E-01,2.17E+02,2.05E+02,1.06E+00,9.26E+02,276.6,829.79,0.013
Ester-linked,80,573,713.68,0.15,3.84,2982.94,0.6474,0.0375,6.47E-06,3.75E-07,1.40E-08,4.62E+02,2.82E+02,0.22,100,6.59,6.59E-09,2.86E-25,1.47E+05,1.47E+02,1.45E+02,1.01E+00,2.57E+02,2.43E+02,1.06E+00,1.21E+03,284.5,853.56,0.015
Oxalate-linked,20,573,713.08,0.94,1.7,24552.34,3.1919,0.1027,3.19E-05,1.03E-06,4.59E-06,6.95E+00,2.14E+02,0.24,200,5.56,5.56E-09,1.72E-25,1.76E+05,1.76E+02,1.64E+02,1.08E+00,9.60E+01,7.89E+01,1.22E+00,3.70E+02,286.1,858.2,0.015
Oxalate-linked,40,573,713.33,0.33,2.56,13700.92,1.3719,0.0487,1.37E-05,4.87E-07,1.04E-06,1.32E+01,2.87E+02,0.44,100,5.32,5.32E-09,1.51E-25,1.65E+05,1.65E+02,1.62E+02,1.02E+00,1.55E+02,1.42E+02,1.09E+00,6.50E+02,286.6,859.76,0.016
Oxalate-linked,60,573,716.51,0.22,3.29,14862.77,0.8157,0.0008,8.16E-06,8.00E-09,7.10E-07,1.15E+01,3.55E+02,0.31,100,5.98,5.98E-09,2.14E-25,1.60E+05,1.60E+02,1.67E+02,9.61E-01,2.11E+02,2.05E+02,1.03E+00,9.30E+02,295.4,886.06,0.017
Oxalate-linked,80,573,715.65,0.12,3.83,16709.33,0.4301,0.0485,4.30E-06,4.85E-07,1.40E-08,3.07E+02,4.17E+02,0.38,100,6.55,6.55E-09,2.81E-25,1.48E+05,1.48E+02,1.45E+02,1.02E+00,2.55E+02,2.43E+02,1.05E+00,1.21E+03,291.9,875.69,0.017
Siloxane-linked,20,573,716.7,0.4,1.64,-23898.36,2.0372,0.0651,2.04E-05,6.51E-07,4.59E-06,4.44E+00,-2.00E+01,0.06,200,5.57,5.57E-09,1.73E-25,1.91E+05,1.91E+02,1.64E+02,1.17E+00,1.04E+02,7.89E+01,1.32E+00,3.72E+02,295.6,886.81,0.017
Siloxane-linked,40,573,709.08,0.26,2.53,-11837.38,1.0569,0.093,1.06E-05,9.30E-07,1.04E-06,1.01E+01,3.66E+01,0.13,100,5.31,5.31E-09,1.50E-25,1.72E+05,1.72E+02,1.62E+02,1.06E+00,1.60E+02,1.42E+02,1.13E+00,6.52E+02,299.6857143,899.0071429,0.018285714
Siloxane-linked,60,573,714.59,0.19,3.25,-8329.18,0.7861,0.0168,7.86E-06,1.68E-07,7.10E-07,1.11E+01,1.22E+02,0.09,100,6.03,6.03E-09,2.19E-25,1.56E+05,1.56E+02,1.67E+02,9.36E-01,2.10E+02,2.05E+02,1.02E+00,9.32E+02,302.5821429,907.6921429,0.018928571
Siloxane-linked,80,573,710.82,0.15,3.77,-10001.87,0.5585,0.0269,5.59E-06,2.69E-07,1.40E-08,3.99E+02,1.48E+02,0.35,100,6.58,6.58E-09,2.85E-25,1.45E+05,1.45E+02,1.45E+02,9.95E-01,2.53E+02,2.43E+02,1.04E+00,1.21E+03,305.4785714,916.3771429,0.019571429
Urea-linked,20,573,681.4,0.9,1.62,-39256.17,3.6573,0.1056,3.66E-05,1.06E-06,4.59E-06,7.97E+00,-1.10E+02,0.19,200,5.49,5.49E-09,1.65E-25,1.73E+05,1.73E+02,1.64E+02,1.06E+00,9.10E+01,7.89E+01,1.15E+00,3.40E+02,308.375,925.0621429,0.020214286
Urea-linked,40,573,696.13,0.38,2.53,-17252.2,1.5202,0.0006,1.52E-05,6.00E-09,1.04E-06,1.46E+01,-2.64E+01,0.36,100,5.29,5.29E-09,1.48E-25,1.64E+05,1.64E+02,1.62E+02,1.02E+00,1.51E+02,1.42E+02,1.06E+00,6.20E+02,311.2714286,933.7471429,0.020857143
Urea-linked,60,573,703.55,0.22,3.23,-16590.2,0.9002,0.0583,9.00E-06,5.83E-07,7.10E-07,1.27E+01,3.11E+01,0.45,100,5.98,5.98E-09,2.14E-25,1.53E+05,1.53E+02,1.67E+02,9.15E-01,2.02E+02,2.05E+02,9.85E-01,9.00E+02,314.1678571,942.4321429,0.0215
Urea-linked,80,573,704.57,0.17,3.79,-17187.08,0.6582,0.016,6.58E-06,1.60E-07,1.40E-08,4.70E+02,7.56E+01,0.76,100,6.52,6.52E-09,2.77E-25,1.49E+05,1.49E+02,1.45E+02,1.02E+00,2.52E+02,2.43E+02,1.04E+00,1.18E+03,317.0642857,951.1171429,0.022142857
Urethane-linked,20,573,,,,,,,3.04E-05,1.06E-06,,,,,,,,,,,,,124,7.89E+01,1.57E+00,4.84E+02,319.9607143,959.8021429,0.022785714
Urethane-linked,40,573,732.33,0.25,2.79,-29130.26,0.9749,0.0119,9.75E-06,1.19E-07,1.04E-06,9.35E+00,-1.18E+02,0.82,100,5.57,5.57E-09,1.73E-25,1.67E+05,1.67E+02,1.62E+02,1.03E+00,1.78E+02,1.42E+02,1.25E+00,7.64E+02,325.7535714,977.1721429,0.024071429
Urethane-linked,60,573,726.52,0.13,3.43,-27111.34,0.6496,0.0061,6.50E-06,6.10E-08,7.10E-07,9.15E+00,-4.79E+01,0.98,100,6.19,6.19E-09,2.38E-25,1.56E+05,1.56E+02,1.67E+02,9.35E-01,2.28E+02,2.05E+02,1.11E+00,1.04E+03,328.65,985.8571429,0.024714286
Urethane-linked,80,573,723.12,0.1,4,-25819.09,0.3913,0.0058,3.91E-06,5.80E-08,1.40E-08,2.80E+02,9.42E+00,0.75,100,6.71,6.71E-09,3.03E-25,1.47E+05,1.47E+02,1.45E+02,1.01E+00,2.72E+02,2.43E+02,1.12E+00,1.32E+03,331.5464286,994.5421429,0.025357143
